,Problem,,,Constructive_Algorithm,,,,LocalSearch,,,,GRASP,,Known_Best,Deviation
,,,,,,Randomized-1,,SimpleGreedy,,SemiGreedy-1,,nIterations,BestVal,,
Name,|V|,|E|,Randomized-1,SimpleGreedy,SemiGreedy-1,nIterations,BestVal,nIterations,BestVal,nIterations,BestVal,,,,
g1,800,19176,9742,11331,11236,627.68,11372.54,59,11422,109.1,11377.16,50,11470,12078,5.03394601755258
g2,800,19176,9708,11203,11275,622.9,11372.54,95,11420,101.38,11371.5,50,11462,12084,5.14730221780867
g3,800,19176,9772,11237,11241,625.22,11369.22,58,11351,108.04,11384.7,50,11471,12077,5.0178024343794
g4,800,19176,9782,11218,11257,627.78,11376,83,11395,100.52,11382.98,50,11471,,
g5,800,19176,9721,11298,11292,628.24,11391.04,54,11386,107.16,11383.74,50,11465,,
g6,800,19176,209,1767,1769,644.38,1923.04,108,1989,134.52,1909.58,50,2002,,
g7,800,19176,52,1577,1552,619.04,1749.16,90,1747,127.28,1735.78,50,1821,,
g8,800,19176,45,1606,1568,633.04,1758.96,59,1726,139.04,1743.48,50,1848,,
g9,800,19176,125,1679,1626,639.22,1803.34,77,1827,127.92,1790.14,50,1866,,
g10,800,19176,71,1561,1587,623.98,1749.54,70,1699,134.74,1747.88,50,1820,,
g11,800,1600,52,496,446,181.68,427.48,3,500,14.58,450.52,50,472,627,24.7208931419458
g12,800,1600,46,480,432,186.82,418.48,5,488,15.68,436.08,50,454,621,26.8921095008052
g13,800,1600,70,504,462,187.64,443.64,4,510,15.84,459.88,50,490,645,24.031007751938
g14,800,4694,2432,2927,2970,267.8,2919.88,34,2976,25.74,2967.06,50,2985,3187,6.33824913711955
g15,800,4661,2411,2905,2934,267.44,2902.2,37,2948,25.18,2946.54,50,2971,3169,6.24802776901231
g16,800,4672,2392,2899,2961,267.86,2908.3,43,2955,25.14,2952.1,50,2983,3172,5.95838587641866
g17,800,4667,2414,2899,2937,271.42,2908.48,44,2959,26.54,2950.36,50,2970,,
g18,800,4694,113,830,790,322.4,828.68,37,878,61.18,844.7,50,885,,
g19,800,4661,9,753,712,332.92,752.82,26,785,65.12,756.48,50,804,,
g20,800,4672,53,790,757,325.56,777.58,20,817,59.7,788.72,50,838,,
g21,800,4667,53,786,730,331.72,772.26,28,819,70.28,781.16,50,824,,
g22,2000,19990,10168,12802,12786,1139.36,12813.3,92,12964,137.54,12916.2,50,13011,14123,7.8736812292006
g23,2000,19990,10105,12829,12745,1129.18,12813.36,88,13010,136.42,12903.66,50,12985,14129,8.09682213886333
g24,2000,19990,10156,12775,12731,1148.26,12825.84,97,12935,132.8,12897.12,50,12984,14131,8.11690609298705
g25,2000,19990,10160,12841,12779,1137.74,12823.44,99,12999,136.92,12911.82,50,12995,,
g26,2000,19990,10150,12838,12725,1130.92,12813.52,93,13001,135.3,12896.48,50,12954,,
g27,2000,19990,125,2731,2569,1150.78,2825.04,114,2907,218.12,2838.02,50,2930,,
g28,2000,19990,96,2664,2545,1129.22,2778.82,139,2890,211.88,2798.38,50,2880,,
g29,2000,19990,213,2677,2612,1141.2,2879.34,133,2909,216.4,2887.54,50,2957,,
g30,2000,19990,221,2778,2635,1146.7,2896.5,120,2966,208.86,2903.88,50,3007,,
g31,2000,19990,110,2652,2543,1149.26,2793.02,137,2863,205.42,2813.56,50,2944,,
g32,2000,4000,62,1224,1098,468.6,1058.48,14,1250,37.08,1112.2,50,1170,1560,25
g33,2000,4000,54,1206,1084,467.48,1039.16,9,1222,36.32,1087.52,50,1134,1537,26.2199089134678
g34,2000,4000,34,1212,1088,472.82,1037.48,12,1234,35.78,1087.08,50,1126,1541,26.930564568462
g35,2000,11778,6015,7326,7405,661.14,7321.62,75,7430,61.84,7441.36,50,7482,8000,6.475
g36,2000,11766,5971,7273,7396,667.62,7319.54,109,7425,60.76,7435.42,50,7466,7996,6.62831415707854
g37,2000,11785,6049,7271,7403,665.04,7335,117,7429,62.72,7444.62,50,7468,8009,6.75490073667125
g38,2000,11779,5999,7320,7414,661.02,7325.66,88,7436,60.36,7443.56,50,7483,,
g39,2000,11778,137,2049,1875,812.96,2014.18,66,2138,170.26,2032.02,50,2124,,
g40,2000,11766,27,2041,1853,833.48,1990.86,67,2144,156.92,2023.3,50,2090,,
g41,2000,11785,117,2071,1883,817.28,1985.02,49,2136,156.68,2026.14,50,2113,,
g42,2000,11779,192,2079,1977,825.12,2078.04,63,2166,164.52,2106.84,50,2191,,
g43,1000,9990,5095,6398,6369,570.8,6397.68,38,6453,72.66,6437.5,50,6493,7027,7.59925999715384
g44,1000,9990,5114,6415,6376,561.32,6397.1,36,6474,68.78,6432.24,50,6485,7022,7.64739390487041
g45,1000,9990,5091,6359,6364,564.1,6396.98,39,6427,69.4,6429.14,50,6489,7020,7.56410256410256
g46,1000,9990,5107,6370,6384,556.42,6393.34,68,6471,66.46,6436.56,50,6501,,
g47,1000,9990,5106,6440,6375,578.04,6411.58,36,6491,72.76,6440.62,50,6489,,
g48,3000,6000,3092,6000,5828,832.98,5012.48,1,6000,3.18,5709.68,50,5830,6000,2.83333333333333
g49,3000,6000,3116,6000,5924,827.2,5005.44,1,6000,2.9,5721.2,50,5924,6000,1.26666666666667
g50,3000,6000,3068,5880,5834,838.26,5009.4,1,5880,3.56,5705.64,50,5834,5988,2.57181028724115
g51,1000,5909,3046,3667,3715,336.58,3668.32,47,3744,32.4,3728.92,50,3760,,
g52,1000,5916,3028,3674,3709,333.58,3670.06,52,3742,32.02,3730,50,3747,,
g53,1000,5914,3059,3664,3709,331.98,3671.68,48,3724,32.3,3729.5,50,3757,,
g54,1000,5916,3047,3633,3717,330.74,3669.8,57,3713,33.94,3729.2,50,3748,,
,,,,,,,,,,,,,,,Average
,,,,,,,,,,,,,,,10.8735995182116
,,,,,,,,,,,,,,,Std Deviation
,,,,,,,,,,,,,,,8.89122562278796
